epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,4419.01,1.36165,0.77149,0.00494,0.89293,0.78531,0.86718,0.55864,1.24481,0.65015,0.00667,0.0009572,0.0009572,0.0009572
81,4459.79,1.34779,0.74741,0.00476,0.8844,0.78955,0.86468,0.55774,1.23942,0.67838,0.00659,0.000944,0.000944,0.000944
82,4489.53,1.33945,0.77059,0.00478,0.87798,0.78992,0.8639,0.56475,1.22805,0.66611,0.00648,0.0009308,0.0009308,0.0009308
83,4519.67,1.33849,0.76153,0.00461,0.8827,0.7903,0.87161,0.56266,1.2369,0.66193,0.0065,0.0009176,0.0009176,0.0009176
84,4549.76,1.3621,0.77465,0.0049,0.87859,0.80042,0.8731,0.56346,1.24373,0.65263,0.00662,0.0009044,0.0009044,0.0009044
85,4580.22,1.33512,0.75465,0.0047,0.8909,0.78372,0.86506,0.5707,1.22628,0.68807,0.00647,0.0008912,0.0008912,0.0008912
86,4610.47,1.33668,0.743,0.0047,0.88027,0.79934,0.86764,0.57005,1.22666,0.66745,0.00658,0.000878,0.000878,0.000878
87,4640.45,1.35416,0.75805,0.00485,0.87134,0.80756,0.87367,0.57565,1.20553,0.64905,0.00636,0.0008648,0.0008648,0.0008648
88,4670.36,1.31557,0.72918,0.00464,0.87635,0.79556,0.86369,0.56902,1.22683,0.6853,0.00652,0.0008516,0.0008516,0.0008516
89,4700.19,1.30798,0.72514,0.00468,0.88823,0.80345,0.87236,0.57176,1.21794,0.65902,0.00639,0.0008384,0.0008384,0.0008384
90,4731.49,1.33988,0.73267,0.00461,0.88077,0.78413,0.86595,0.5694,1.22295,0.6948,0.00657,0.0008252,0.0008252,0.0008252
91,4761.68,1.30769,0.71926,0.00453,0.89736,0.79811,0.871,0.57471,1.20439,0.67802,0.00624,0.000812,0.000812,0.000812
92,4792.02,1.30526,0.7023,0.00459,0.9004,0.80099,0.87286,0.57076,1.21513,0.64198,0.00635,0.0007988,0.0007988,0.0007988
93,4917.81,1.27618,0.69486,0.00458,0.8858,0.80375,0.87241,0.57118,1.20974,0.67208,0.00631,0.0007856,0.0007856,0.0007856
94,4947.68,1.32193,0.71926,0.00457,0.89336,0.8026,0.87396,0.57273,1.20945,0.64465,0.00632,0.0007724,0.0007724,0.0007724
95,5004.49,1.2869,0.67714,0.00457,0.86957,0.81146,0.87294,0.57161,1.21529,0.65333,0.00631,0.0007592,0.0007592,0.0007592
96,5135.33,1.30487,0.67942,0.0045,0.88832,0.80181,0.87471,0.57207,1.21129,0.66246,0.00637,0.000746,0.000746,0.000746
97,5261.69,1.28284,0.70445,0.00466,0.89491,0.80881,0.87915,0.57671,1.20625,0.6465,0.00629,0.0007328,0.0007328,0.0007328
98,5391.18,1.30749,0.69669,0.00459,0.89366,0.80551,0.87671,0.57343,1.20517,0.65595,0.00622,0.0007196,0.0007196,0.0007196
99,5517.79,1.29378,0.69538,0.00437,0.88542,0.81785,0.88253,0.57794,1.22033,0.62593,0.00656,0.0007064,0.0007064,0.0007064
100,5646.19,1.28966,0.69333,0.00438,0.88736,0.81456,0.87375,0.57552,1.20487,0.65033,0.0062,0.0006932,0.0006932,0.0006932
101,5770.58,1.28947,0.69827,0.00441,0.88915,0.81044,0.87201,0.57294,1.21118,0.65246,0.00647,0.00068,0.00068,0.00068
102,5895.14,1.28574,0.68554,0.00442,0.88407,0.80903,0.87331,0.57447,1.19509,0.64783,0.00626,0.0006668,0.0006668,0.0006668
